,Nombre del proyecto,Creador(a),Estatus,Ubicación (por estado),Descripción,Descripción (limpia),Palabras clave,Recaudado,Objetivo,Conteo de patrocinadores,Categoría
1385,El Dimensionista,Andres Isaak,Fallido,Chihuahua,El ascenso del alma,ascenso alma,['alma'],28,25000,2,Cómic
1386,kind people,Ricardo Valtierra,Fallido,Baja California,T-shirts to help the world be a better place to live.,tshirts help world better place live,"['place', 'help world']",28,50000,2,Arte
1387,ONLY RECORD'S,J Drops,Fallido,Tamaulipas,Sello discográfico independiente.,sello discográfico independiente,"['independiente', 'sello']",28,10500,2,Música
1388,Taller de Artesanías,Josh_Cast,Fallido,Jalisco,"Un Taller de Artesanías y arte sacro, Esculturas, Relieves, Columnas y mucho más!!! Todo 100 % Mexicano",taller artesanías arte sacro esculturas relieves columnas mexicano,"['artesanias', 'relieves columnas']",28,55000,2,Arte
1389,Dimensiones.,Cesar Antonio Sanchez Gonzalez,Fallido,Mexico,"Novela tanto para adolescentes y adultos de Sci-FI, Fantástica y Aventuras.
Personajes interesantes y situaciones increíbles.",novela adolescentes adultos scifi fantástica aventuras personajes interesantes situaciones increíbles,"['adolescentes', 'interesantes situaciones']",28,11200,2,Editorial
1390,NEW ALBUM *Dulce Viaje* Electronic Music,Nvbe,Fallido,Queretaro de Arteaga,Album musical de electrónica experimental.,album musical electrónica experimental,"['electronica', 'album musical']",28,3000,2,Música
1391,Celest,Luis Figueroa,Fallido,Baja California,"Concierto inspirado para personas que quieren pasarla bien, disfrutar y vivir el momento.",concierto inspirado personas quieren pasarla bien disfrutar vivir momento,"['vivir', 'inspirado personas']",28,1499994,2,Música
1392,IDENTIDAD MÚLTIPLE,Ruben Dario Quiroz Rios,Fallido,Distrito Federal,Es una obra de Teatro que narra la historia de un joven que padece esta enfermedad mental.,obra teatro narra historia joven padece enfermedad mental,"['teatro', 'padece enfermedad']",28,50000,2,Teatro
1393,Taller de madera soto,Sergio Soto Madrid,Fallido,Durango,Quiero iniciar un pequeño taller de carpintería y diseño de muebles desde básicos para el hogar asta algo personalizado,quiero iniciar pequeño taller carpintería diseño muebles básicos hogar asta personalizado,"['iniciar', 'hogar asta']",28,15000,2,Artesanía
1394,EL IMPERIO: Operación Guillotina,Jonathan,Fallido,Quintana Roo,Corre el año 2185 y la galaxia se en inmersa en el caos por grupos Terroristas. El Imperio se encargara de devolver la paz y el orden.,corre año galaxia inmersa caos grupos terroristas imperio encargara devolver paz orden,"['ano', 'devolver paz']",28,5000,2,Cómic
1395,My best musical video and Quality: Latin Urban Music,Alfredo Oviña Echevarria,Fallido,Veracruz-Llave,I want to make a professional video for a song of Reggaeton. I'm from Mexico and I don't have enough money for doing that video.  TKYOU,want make professional video song reggaeton im mexico dont enough money video tkyou,"['video song', 'mexico']",28,20000,2,Cine y video
1396,Calendario de erizos perros gatos y hámsters,Ulises,Fallido,Baja California,Fotografías de animales,fotografías animales,['animales'],28,6000,2,Fotografía
1397,Publica Facil Revista Guia Comercial,Luis Gustavo Torres Aguirre,Fallido,Morelos,Revista- Guia Comercial Zona Norte EDOMEX,revista guia comercial zona norte edomex,"['norte', 'guia comercial']",28,66200,2,Editorial
1398,Sonora y sus pueblos,Miguel Ángel,Fallido,Sonora,Historia del Estado de sonora y todos sus pueblos,historia sonora pueblos,['pueblos'],28,30000,2,Editorial
1399,Libro: Productividad Inteligente,José Israel Palomo Chávez,Fallido,Zacatecas,"Modelo de Coaching Organizacional enfocado a Capacitación y Mejora Continua, del estado actual al estado deseado en las organizaciones.",modelo coaching organizacional enfocado capacitación mejora continua actual deseado organizaciones,"['organizaciones', 'coaching organizacional', 'mejora']",28,40000,2,Editorial
1400,unicos y abrazables,rosalina,Fallido,Distrito Federal,peluches infantiles personalizados tejidos a mano,peluches infantiles personalizados tejidos mano,['infantiles personalizados tejidos'],28,20000,2,Artesanía
