,Proyecto,Autor(a),País,Descripción,Recaudación,Porcentaje,Vistas,Colaboradores,Categoría
946,IMAGINARIO BARROCO EN ESPAÑA,Imaginario Barroco,Argentina,Fuimos seleccionados para ser artistas residentes en el 'ECOS - Festival Internacional de Música Antigua de Sierra Espuña' en España,6699,68,3900,34,Música
947,ME LLEVA LA JARANA EN EUROPA,Me Lleva la Jarana,Argentina,A partir del 30 de Marzo de 2019 emprenderemos una gira por Europa para llevar nuestro espectáculo a nuevos lugares y espectadores/as,15556,68,2900,35,Música
948,FEDE BLOIS / DISCO + VIDEOS,fede blois,Uruguay,El disco se grabó entre junio y setiembre de 2016.Hoy el proyecto se encuentra en su etapa final:edición y realización audiovisual.,16327,68,5400,39,Música
949,"NUEVO ESPECTÁCULO ""CÓDIGOS""",Murga La Quetejedi,Argentina,"Somos “La Quetejedi”, una murga uruguaya de Berazategui y estamos armando nuestro nuevo espectáculo “Códigos”. ¿Nos ayudás?",10062,68,7300,54,Artes escénicas
950,ALEGRÍA!,alegriapolitica,Argentina,Libro recopilatorio de los primeros 365 días de Alegría!,24170,67,28100,245,Editorial
951,DESTIEMPO,Wann Teems,Argentina,"Cortometraje a realizarse en Buenos Aires, formato digital RED WEAPON, Dirigido por Wann Teems, con equipo técnico de Universidad del Cine.",2206,67,1700,12,Cine y video
952,BAJO CONTROL CORTOMETRAJE,mattiaspagani,Argentina,"Walter, un científico reconocido, decide detener a Víctor, un científico renegado que experimenta con los sueños de las personas.",2190,67,1900,14,Cine y video
953,PRIMER DISCO DE FRANCIS,Francis,Chile,"Desde 2009, FRANCIS está concentrada en crear canciones y sumar experiencias en distintos escenarios, para ser plasmadas en un disco.",38554,67,9000,18,Música
954,CONTRAFASE,CONTRAFASE,Argentina,"Película documental realizada en Río Grande, Tierra del Fuego, Argentina.",4412,67,9100,299,Cine y video
955,SUEÑOS DE FAMILIAS,Cien Lunas,Argentina,"LIBRO ILUSTRADO PARA NIÑOS NACIDOS POR TÉCNICAS DE REPRODUCCIÓN HUMANA ASISTIDA. ESTA VEZ, PARA TODOS LOS TIPOS DE FAMILIAS, POR CIEN LUNAS.",9877,67,12100,74,Editorial
956,"IKIGAI, CORTOMETRAJE",Fernanda Guerrero V,Argentina,"Cortometraje experimental de danza teatro y ficción. Se centra en el camino hacia los sueños, el propósito de vida.",5724,66,5200,28,Cine y video
957,HIDA - CORTOMETRAJE,julia Riva,Argentina,"Seleccionado para realizarse por la Universidad del Cine, trata sobre el amor, la amistad y el despertar a la vida, sumate y ayudanos!",5962,66,5900,103,Cine y video
